sno,observationdate,province/state,country/region,last update,confirmed,deaths,recovered
13,01/22/2020,Hong Kong,Hong Kong,1/22/2020 17:00,0,0,0
53,01/23/2020,Hong Kong,Hong Kong,1/23/20 17:00,2,0,0
114,01/24/2020,Hong Kong,Hong Kong,1/24/20 17:00,2,0,0
156,01/25/2020,Hong Kong,Hong Kong,1/25/20 17:00,5,0,0
201,01/26/2020,Hong Kong,Hong Kong,1/26/20 16:00,8,0,0
252,01/27/2020,Hong Kong,Hong Kong,1/27/20 23:59,8,0,0
310,01/28/2020,Hong Kong,Hong Kong,1/28/20 23:00,8,0,0
361,01/29/2020,Hong Kong,Hong Kong,1/29/20 19:30,10,0,0
419,01/30/2020,Hong Kong,Hong Kong,1/30/20 16:00,10,0,0
479,01/31/2020,Hong Kong,Hong Kong,1/31/2020 23:59,12,0,0
546,02/01/2020,Hong Kong,Hong Kong,2/1/2020 5:37,13,0,0
615,02/02/2020,Hong Kong,Hong Kong,2020-02-02T23:53:02,15,0,0
684,02/03/2020,Hong Kong,Hong Kong,2020-02-02T23:53:02,15,0,0
754,02/04/2020,Hong Kong,Hong Kong,2020-02-04T09:03:02,17,1,0
826,02/05/2020,Hong Kong,Hong Kong,2020-02-05T13:13:10,21,1,0
899,02/06/2020,Hong Kong,Hong Kong,2020-02-06T14:43:02,24,1,0
971,02/07/2020,Hong Kong,Hong Kong,2020-02-07T11:53:02,25,1,0
1046,02/08/2020,Hong Kong,Hong Kong,2020-02-08T00:03:07,26,1,0
1120,02/09/2020,Hong Kong,Hong Kong,2020-02-09T09:53:02,29,1,0
1193,02/10/2020,Hong Kong,Hong Kong,2020-02-10T10:13:06,38,1,0
1266,02/11/2020,Hong Kong,Hong Kong,2020-02-11T09:43:02,49,1,0
1341,02/12/2020,Hong Kong,Hong Kong,2020-02-12T09:53:02,50,1,1
1417,02/13/2020,Hong Kong,Hong Kong,2020-02-13T14:53:02,53,1,1
1493,02/14/2020,Hong Kong,Hong Kong,2020-02-14T09:03:12,56,1,1
1570,02/15/2020,Hong Kong,Hong Kong,2020-02-14T09:03:12,56,1,1
1648,02/16/2020,Hong Kong,Hong Kong,2020-02-16T09:53:01,57,1,2
1725,02/17/2020,Hong Kong,Hong Kong,2020-02-17T22:53:01,60,1,2
